ID,英文名稱,中文名稱,圖片,修訂日期,更新日期
3167477,Large Magellanic Cloud,大麥哲倫雲,,,2017-07-24
3167478,laser diode,雷射二極體,,,2017-07-24
3167479,laser{light amplification by stimulated emission of radiation},雷射,,,2017-07-24
3167480,latent heat,潛熱,,,2017-07-24
3167481,law of conservation of energy,能量守恆[定]律,,,2017-07-24
3167482,law of inertia,慣性[定]律,,,2017-07-24
3167483,law of reflection,反射[定]律,,,2017-07-24
3167484,law of refraction,折射[定]律,,,2017-07-24
3167485,law of universal gravitation,萬有引力[定]律,,,2017-07-24
3167486,LCD{liquid crystal display},液晶顯示器,,,2017-07-24
3167487,LED{light emitting diode},發光二極體,,,2017-07-24
3167488,LEED{low energy electron diffraction},低能電子繞射,,,2017-07-24
3167489,length,長度,,,2017-07-24
3167490,lens,透鏡,,,2017-07-24
3167491,Lenz's law,冷次定律,,,2017-07-24
3167492,lepton,輕子,,,2017-07-24
3167493,light,光,,,2017-07-24
3167494,light amplification by stimulated emission of radiation{=laser},雷射,,,2017-07-24
3167495,light emitting diode {=LED},發光二極體,,,2017-07-24
3167496,light meter,光計,,,2017-07-24
3167497,light pipe,光導管,,,2017-07-24
3167498,light quantum,光量子,,,2017-07-24
3167499,light reaction,光反應,,,2017-07-24
3167500,light year,光年{長度單位},,,2017-07-24
3167501,line of force,力線；場線,,,2017-07-24
3167502,liquid,液體,,,2017-07-24
3167503,liquid crystal,液晶；液態晶體,,,2017-07-24
3167504,liquid crystal display{=LCD},液晶顯示器,,,2017-07-24
3167505,local group,本星系群,,,2017-07-24
3167506,locus,軌跡,,,2017-07-24
3167507,long range order,長程序,,,2017-07-24
3167508,longitudinal wave,縱波,,,2017-07-24
3167509,loop,迴路；迴圈,,,2017-07-24
3167510,Lorentz factor,勞侖茲因子,,,2017-07-24
3167511,Lorentz transformation,勞侖茲變換,,,2017-07-24
3167512,loudness,響度,,,2017-07-24
3167513,low energy electron diffraction{=LEED},低能電子繞射,,,2017-07-24
3167514,luminescence,冷光,,,2017-07-24
3167515,luminous flux,光通量,,,2017-07-24
3167516,luminous intensity,光強度,,20220531修訂,2022-07-15
3167517,Lyman series,來曼系,,,2017-07-24
3167518,lyotropic liquid crystal,溶致液晶,,,2017-07-24
3167519,Mach angle,馬赫角,,,2017-07-24
3167520,Mach number,馬赫數,,,2017-07-24
3167521,magnesia,氧化鎂,,,2017-07-24
3167522,magnet,磁體；磁鐵,,,2017-07-24
3167523,magnetic declination,磁偏角,,,2017-07-24
3167524,magnetic domain,磁域,,,2017-07-24
3167525,magnetic field,磁場,,,2017-07-24
3167526,magnetic flux,磁通量,,,2017-07-24
3167527,magnetic force,磁力,,,2017-07-24
3167528,magnetic induction,磁感應；磁感應強度,,,2017-07-24
3167529,magnetic pole,磁極,,,2017-07-24
3167530,magnetic resonance imaging{=MRI},磁振造影,,,2017-07-24
3167531,magnetite,磁鐵礦,,,2017-07-24
3167532,magnification,放大；放大率,,,2017-07-24
3167533,Mars,火星,,,2017-07-24
3167534,mass,質量,,,2017-07-24
3167535,mass flow rate,質量流率,,,2017-07-24
3167536,mass number,質量數,,,2017-07-24
3167537,mass spectrograph,質譜儀,,,2017-07-24
3167538,matter wave,物質波,,,2017-07-24
3167539,mean lifetime,平均壽命,,,2017-07-24
3167540,mechanical energy,力學能,,,2017-07-24
3167541,mechanical equivalent of heat,熱功當量,,,2017-07-24
3167542,mechanical wave,力學波,,,2017-07-24
3167543,medium,介質,,,2017-07-24
3167544,melting point,熔點,,,2017-07-24
3167545,Mercury,水星,,,2017-07-24
3167546,meson,介子,,,2017-07-24
3167547,mesophase,介相；中[間]相,,,2017-07-24
3167548,mesoscopic physics,介觀物理；中觀物理,,,2017-07-24
3167549,metastable state,準穩態,,,2017-07-24
3167550,meter,公尺；米{長度單位}；量計,,,2017-07-24
3167551,metre,公尺{長度單位},,,2017-07-24
3167552,Michelson interferometer,邁克生干涉儀,,,2017-07-24
3167553,micrometer{=micron},測微計；微米,,,2017-07-24
3167554,micron,微米,,,2017-07-24
3167555,microwave,微波,,,2017-07-24
3167556,Milky Way,銀河[系],,,2017-07-24
3167557,milligram,毫克,,,2017-07-24
3167558,millimeter,毫米{長度單位},,,2017-07-24
3167559,mirror reflection,鏡反射,,,2017-07-24
3167560,moderator,緩和劑,,,2017-07-24
3167561,modern physics,近代物理[學],,,2017-07-24
3167562,mole,莫耳 {物量單位},,,2017-07-24
3167563,moment of inertia,轉動慣量,,,2017-07-24
3167564,momentum,動量,,,2017-07-24
3167565,monochromatic light,單色光,,,2017-07-24
3167566,motion,[運]動,,,2017-07-24
3167567,motor,發動機；馬達,,,2017-07-24
3167568,MRI{magnetic resonance imaging},磁振造影,,,2017-07-24
3167569,muon,緲子,,,2017-07-24
3167570,musical sound,樂音,,,2017-07-24
3167571,myopia,近視,,,2017-07-24
3167572,nanometer{=nm},奈米,,,2017-07-24
3167573,natural frequency,固有頻率,,,2017-07-24
3167574,nebula,星雲,,,2017-07-24
3167575,negative charge,負電荷,,,2017-07-24
3167576,negative pressure,負壓,,,2017-07-24
3167577,nematic liquid crystal,向列型液晶,,,2017-07-24
3167578,Neptune,海王星,,,2017-07-24
3167579,neutrino,微中子,,,2017-07-24
3167580,neutron,中子,,,2017-07-24
3167581,Newton,牛頓,,,2017-07-24
3167582,nm {nanometer},奈米,,,2017-07-24
3167583,node,[波]節；結點,,,2017-07-24
3167584,noise,噪音；雜訊,,,2017-07-24
3167585,normal,法線,,,2017-07-24
3167586,normal acceleration,法向加速度,,,2017-07-24
3167587,normal force,正向力；法向力,,,2017-07-24
3167588,north pole,北極,,,2017-07-24
3167589,north seeking pole,指北極,,,2017-07-24
3167590,n-type semiconductor,n型半導體,,,2017-07-24
3167591,nuclear decay,核衰變,,,2017-07-24
3167592,nuclear energy,核能,,,2017-07-24
3167593,nuclear fission,核分裂；核裂變,,,2017-07-24
3167594,nuclear force,核力,,,2017-07-24
3167595,nuclear fusion,核融合,,20191113,2019-11-13
3167596,nuclear magnetic resonance,核磁共振,,,2017-07-24
3167597,nuclear magnetic resonance imaging,核磁共振造影,,,2017-07-24
3167598,nuclear pile,核反應堆,,,2017-07-24
3167599,nucleon,核子,,,2017-07-24
3167600,object distance,物距,,,2017-07-24
3167601,objective lens,物鏡,,,2017-07-24
3167602,oblique collision,斜碰撞,,,2017-07-24
3167603,ohm,歐姆{電阻單位},,,2017-07-24
3167604,Ohm's law,歐姆定律,,,2017-07-24
3167605,open circuit,開路,,,2017-07-24
3167606,open cluster,疏散星團,,,2017-07-24
3167607,optical fiber,光[學]纖[維],,,2017-07-24
3167608,optical spectrum,光譜,,,2017-07-24
3167609,order,序；級；階,,,2017-07-24
3167610,origin,原點；起源,,,2017-07-24
3167611,oscillator,振盪器；振子,,,2017-07-24
3167612,out of phase,異相,,,2017-07-24
3167613,parabolic mirror,拋物面鏡,,,2017-07-24
3167614,parallel,平行；並聯,,,2017-07-24
3167615,paraxial ray,近軸光線,,,2017-07-24
3167616,parsec,秒差距,,,2017-07-24
3167617,particle,質點；粒子,,,2017-07-24
3167618,Paschen series,帕申系,,,2017-07-24
3167619,path,路程；路徑,,,2017-07-24
3167620,path difference,路程差,,,2017-07-24
3167621,perfect diamagnetism,完全抗磁性,,,2017-07-24
3167622,period,周期,,,2017-07-24
3167623,permeability,磁導率； 滲透率,,,2017-07-24
3167624,phase diagram,相圖,,,2017-07-24
3167625,phase transition,相變,,,2017-07-24
3167626,photoconductive effect,光電導效應,,,2017-07-24
3167627,photoelectric effect,光電效應,,,2017-07-24
3167628,photoelectron,光電子,,,2017-07-24
3167629,photon,光子,,,2017-07-24
3167630,phototube,光電管,,,2017-07-24
3167631,physical quantity,物理量,,,2017-07-24
3167632,Physics,物理[學],,,2017-07-24
3167633,pixel,像素,,,2017-07-24
3167634,Planck constant,普朗克常數,,,2017-07-24
3167635,planet,行星,,,2017-07-24
3167636,plasma,電漿；電離體,,,2017-07-24
3167637,Pluto,冥王星,,,2017-07-24
3167638,p-n junction,p-n接面,,,2017-07-24
3167639,point mass,質點,,,2017-07-24
3167640,point particle,點粒子,,,2017-07-24
3167641,polarization,偏振；[電]極化,,,2017-07-24
3167642,pole strength,[磁]極強[度],,,2017-07-24
3167643,population inversion,居量逆轉,,,2017-07-24
3167644,position,位置,,,2017-07-24
3167645,position vector,位置向量,,,2017-07-24
3167646,positive charge,正電荷,,,2017-07-24
3167647,potential difference,電位差；電勢差,,,2017-07-24
3167648,potential drop,電位降；電勢降,,,2017-07-24
3167649,potential energy,位能；勢能,,,2017-07-24
3167650,power,功率；率；本領；冪次；動力,,,2017-07-24
3167651,precession,進動,,,2017-07-24
3167652,pressure,壓[力],,,2017-07-24
3167653,primary coil,主[線]圈,,,2017-07-24
3167654,primary rainbow,虹,,,2017-07-24
3167655,principal axis,主軸,,,2017-07-24
3167656,principle of complementarity,互補原理,,,2017-07-24
3167657,projectile motion,拋體運動,,,2017-07-24
3167658,proton,質子,,,2017-07-24
3167659,p-type semiconductor,p型半導體,,,2017-07-24
3167660,pulse,脈衝[波],,,2017-07-24
3167661,pump,泵；幫浦,,,2017-07-24
3167662,quantization,量子化,,,2017-07-24
3167663,quantum,量子,,,2017-07-24
3167664,quantum effect,量子效應,,,2017-07-24
3167665,quantum number,量子數,,,2017-07-24
3167666,quantum theory,量子論,,,2017-07-24
3167667,quark,夸克,,,2017-07-24
3167668,radar,雷達,,,2017-07-24
3167669,radian,弧度,,,2017-07-24
3167670,radiation,輻射,,,2017-07-24
3167671,radio frequency,射頻,,,2017-07-24
3167672,radio wave,無線電波,,,2017-07-24
3167673,radioactivity,放射性,,,2017-07-24
3167674,radius of curvature,曲率半徑,,,2017-07-24
3167675,radius of gyration,迴轉半徑,,,2017-07-24
3167676,random,無規；隨機,,,2017-07-24
3167677,rarefaction,稀疏；疏部,,,2017-07-24
3167678,rarefaction wave,稀疏波,,,2017-07-24
3167679,ray,線；射線,,,2017-07-24
3167680,ray optics,線光學；幾何光學,,,2017-07-24
3167681,Rayleigh scattering,瑞立散射,,,2017-07-24
3167682,reaction,反作用；反應,,,2017-07-24
3167683,reaction force,反作用力,,,2017-07-24
3167684,real image,實像,,,2017-07-24
3167685,rectangular coordinates,直角坐標,,,2017-07-24
3167686,rectification,整流,,,2017-07-24
3167687,rectifier,整流器,,,2017-07-24
3167688,red shift,紅移,,,2017-07-24
3167689,reflection,反射,,,2017-07-24
3167690,reflector,反射器；反射鏡,,,2017-07-24
3167691,refraction,折射,,,2017-07-24
3167692,refrigerator,致冷機；冷凍機,,,2017-07-24
3167693,relative index of refraction,相對折射率,,,2017-07-24
3167694,relativistic mass,相對論性質量,,,2017-07-24
3167695,resistivity,電阻率,,,2017-07-24
3167696,resistor,電阻[器],,,2017-07-24
3167697,resonance,共振；共鳴,,,2017-07-24
3167698,rest energy,靜止能[量],,,2017-07-24
3167699,restoring force,回復力,,,2017-07-24
3167700,retrograde motion,逆行,,,2017-07-24
3167701,reverse bias,反[向]偏壓,,,2017-07-24
3167702,right ascension,赤經,,,2017-07-24
3167703,rigid body,剛體,,,2017-07-24
3167704,root-mean-square speed,方均根速率,,,2017-07-24
3167705,rotation,轉動；旋轉； 自轉 ；旋光[本領],,,2017-07-24
3167706,ruby laser,紅寶石雷射,,,2017-07-24
3167707,Rydberg constant,芮得柏常數,,,2017-07-24
3167708,satellite,衛星；伴線,,,2017-07-24
3167709,Saturn,土星,,,2017-07-24
3167710,scalar,純量,,,2017-07-24
3167711,scanning tunneling microscope{=STM},掃描穿隧顯微儀,,,2017-07-24
3167712,scattering,散射,,,2017-07-24
3167713,second,秒,,,2017-07-24
3167714,secondary coil,副[線]圈,,,2017-07-24
3167715,secondary electron,二次電子,,,2017-07-24
3167716,secondary rainbow,霓,,,2017-07-24
3167717,semiconductor,半導體,,,2017-07-24
3167718,semiconductor laser,半導體雷射,,,2017-07-24
3167719,series,系；級數,,,2017-07-24
3167720,series connection,串聯,,,2017-07-24
3167721,SHM {simple harmonic motion},簡諧運動,,,2017-07-24
3167722,shock wave,[爆]震波,,,2017-07-24
3167723,short circuit,短路,,,2017-07-24
3167724,SI{=Système International d'Unités},國際單位制,,,2017-07-24
3167725,sinusoidal wave,正弦波,,,2017-07-24
3167726,smectic liquid crystal,層列型液晶,,,2017-07-24
3167727,Snell's law,司乃耳定律,,,2017-07-24
3167728,solar wind,太陽風,,,2017-07-24
3167729,solenoid,螺線管,,,2017-07-24
3167730,solid,固體,,,2017-07-24
3167731,solid angle,立體角,,,2017-07-24
3167732,solid state,固態,,,2017-07-24
3167733,sonar,聲納,,,2017-07-24
3167734,sound wave,聲波,,,2017-07-24
3167735,source,源；源極,,,2017-07-24
3167736,south pole,南極,,,2017-07-24
3167737,special relativity,狹義相對論,,,2017-07-24
3167738,special theory of relativity,狹義相對論,,,2017-07-24
3167739,specific heat,比熱,,,2017-07-24
3167740,specific heat capacity,比熱,,,2017-07-24
3167741,specific weight,比重,,,2017-07-24
3167742,spectral line,[光]譜線,,,2017-07-24
3167743,spectrometer,[光]譜儀；[光]譜計,,,2017-07-24
3167744,spectrum,光譜；譜,,,2017-07-24
3167745,specular reflection,鏡面反射,,,2017-07-24
3167746,speed,速率,,,2017-07-24
3167747,speed of sound,聲速,,,2017-07-24
3167748,spherical aberration,球面像差,,,2017-07-24
3167749,spherical lens,球面透鏡,,,2017-07-24
3167750,spherical mirror,球面鏡,,,2017-07-24
3167751,spin,自旋,,,2017-07-24
3167752,spontaneous emission,自發發射,,,2017-07-24
3167753,spontaneous radiation,自發輻射,,,2017-07-24
3167754,spring constant,彈性常數,,,2017-07-24
3167755,SQUID{superconducting quantum interference device },超導量子干涉儀,,,2017-07-24
3167756,standing wave,駐波,,,2017-07-24
3167757,star,星；恆星,,,2017-07-24
3167758,state,態；狀態,,,2017-07-24
3167759,state function,態函數,,,2017-07-24
3167760,static equilibrium,靜力平衡,,,2017-07-24
3167761,static friction,靜摩擦,,,2017-07-24
3167762,statics,靜力學,,,2017-07-24
3167763,stationary state,定態,,,2017-07-24
3167764,steady flow,穩流,,,2017-07-24
3167765,steam engine,蒸汽機,,,2017-07-24
3167766,stellar cluster,星團,,,2017-07-24
3167767,stimulated emission,受激發射,,,2017-07-24
3167768,STM{scanning tunneling microscope},掃描穿隧顯微儀,,,2017-07-24
3167769,strong interaction,強[交互]作用,,,2017-07-24
3167770,sublimation,昇華,,,2017-07-24
3167771,subsonic speed,次音速；次聲速,,,2017-07-24
3167772,Sun,日；太陽,,,2017-07-24
3167773,sunspot,日斑；太陽黑子,,,2017-07-24
3167774,superconducting quantum interference device {=SQUID},超導量子干涉儀,,,2017-07-24
3167775,superconductivity,超導[性],,,2017-07-24
3167776,superconductor,超導體,,,2017-07-24
3167777,surface tension,表面張力；表面抗張,,,2017-07-24
3167778,system,系[統]；體系,,,2017-07-24
3167779,tangential acceleration,切向加速度,,,2017-07-24
3167780,temperature,溫度,,,2017-07-24
3167781,tension,張力；抗張力,,,2017-07-24
3167782,terminal velocity,終端速度,,,2017-07-24
3167783,test charge,測試電荷,,,2017-07-24
3167784,thermal energy,熱能,,,2017-07-24
3167785,thermal equilibrium,熱平衡,,,2017-07-24
3167786,thermal expansion,熱膨脹,,,2017-07-24
3167787,thermocouple,熱電偶；溫差電偶,,,2017-07-24
3167788,thermometer,溫度計,,,2017-07-24
3167789,thermotropic liquid crystal,熱致液晶,,,2017-07-24
3167790,thin lens,薄透鏡,,,2017-07-24
3167791,three primary colors,三原色,,,2017-07-24
3167792,threshold frequency,底限頻率；閾值頻率,,,2017-07-24
3167793,timbre,音品；音色,,,2017-07-24
3167794,time,時；時刻；時間,,,2017-07-24
3167795,time dilatation,時間膨脹,,,2017-07-24
3167796,time dilation,時間膨脹,,,2017-07-24
3167797,time interval,時間[間隔]；時段,,,2017-07-24
3167798,toroid,環管,,,2017-07-24
3167799,torque,力矩,,,2017-07-24
3167800,torr,托 (mmHg),,,2017-07-24
3167801,torsion balance,扭秤,,,2017-07-24
3167802,torsion constant,扭轉常數,,,2017-07-24
3167803,total internal reflection,全[内]反射,,,2017-07-24
3167804,total reflection,全反射,,,2017-07-24
3167805,trajectory,軌跡；彈道,,,2017-07-24
3167806,transformer,變壓器,,,2017-07-24
3167807,transistor,電晶體,,,2017-07-24
3167808,transition,相變；躍遷；轉變,,,2017-07-24
3167809,transition element,過渡元素,,,2017-07-24
3167810,transition temperature,相變溫度,,,2017-07-24
3167811,translation,平移,,,2017-07-24
3167812,translational motion,平移,,,2017-07-24
3167813,transmitted wave,透射波；發射波,,,2017-07-24
3167814,transverse wave,橫波,,,2017-07-24
3167815,traveling wave,行進波,,,2017-07-24
3167816,triple point,三相點,,,2017-07-24
3167817,trough,[波]谷；槽,,,2017-07-24
3167818,tunnelling effect,穿隧效應,,,2017-07-24
3167819,turbulent flow,亂流,,,2017-07-24
3167820,UHF{ultra high frequency},超高頻,,,2017-07-24
3167821,ultra high frequency {=UHF},超高頻,,,2017-07-24
3167822,ultraviolet,紫外光；紫外線,,,2017-07-24
3167823,ultraviolet ray,紫外線,,,2017-07-24
3167824,uniform circular motion,等速圓周運動,,,2017-07-24
3167825,unit,單位；單元,,,2017-07-24
3167826,up quark,上夸克,,,2017-07-24
3167827,uranium,鈾,,,2017-07-24
3167828,Uranus,天王星,,,2017-07-24
3167829,valence band,價帶,,,2017-07-24
3167830,vaporization,汽化,,,2017-07-24
3167831,variable star,變星,,,2017-07-24
3167832,vector,向量,,,2017-07-24
3167833,velocity,速度,,,2017-07-24
3167834,Venus,金星,,,2017-07-24
3167835,vernal equinox,春分；春分點,,,2017-07-24
3167836,vernier,游標,,,2017-07-24
3167837,vertex of mirror,鏡頂,,,2017-07-24
3167838,very high frequency {=VHF},特高頻,,,2017-07-24
3167839,VHF{very high frequency},特高頻,,,2017-07-24
3167840,vibration,振動,,,2017-07-24
3167841,vibrator,振動器；振動體,,,2017-07-24
3167842,Virgo cluster,室女[座]星系團,,,2017-07-24
3167843,virtual image,虛像,,,2017-07-24
3167844,visible light,可見光,,,2017-07-24
3167845,visual persistence,視覺暫留,,,2017-07-24
3167846,volt,伏[特],,,2017-07-24
3167847,voltage,電壓,,,2017-07-24
3167848,voltmeter,伏特計；電壓計,,,2017-07-24
3167849,volume flow rate,體積流率,,,2017-07-24
3167850,wafer,晶圓,,,2017-07-24
3167851,wake,尾流,,,2017-07-24
3167852,watt,瓦[特]{單位},,,2017-07-24
3167853,wave,波,,,2017-07-24
3167854,wave crest,波峰,,,2017-07-24
3167855,wave front,波前,,,2017-07-24
3167856,wave mechanics,波動力學,,,2017-07-24
3167857,wave motion,波動,,,2017-07-24
3167858,wave optics,波[動]光學,,,2017-07-24
3167859,wave packet,波包,,,2017-07-24
3167860,wave train,波列,,,2017-07-24
3167861,wave trough,波谷,,,2017-07-24
3167862,wave velocity,波速[度],,,2017-07-24
3167863,wavelength,波長,,,2017-07-24
3167864,wavelet,子波,,,2017-07-24
3167865,wave-particle duality,波粒二象性,,,2017-07-24
3167866,weak interaction,弱[交互]作用,,,2017-07-24
3167867,weber,韋伯{單位},,,2017-07-24
3167868,weight,重；重量；權重,,,2017-07-24
3167869,weightlessness,失重,,,2017-07-24
3167870,wetting,潤濕,,,2017-07-24
3167871,work,功,,,2017-07-24
3167872,work function,功函數,,,2017-07-24
3167873,work-kinetic energy theorem,功能定理,,,2017-07-24
3167874,X-ray,X射線,,,2017-07-24
3167875,α particle,α粒子,,,2017-07-24
3167876,γ-ray,γ射線,,,2017-07-24
